date Absolute_residuals_Cab Absolute_residuals_Car Absolute_residuals_LAI Absolute_residuals_LMA Green_pixels_ratio
4-May 7.839333333 1.150294444 1.644613889 0.000366583 0.7997
7-Jun 11.626 3.298088889 1.072983333 0.012532667 0.2887
21-Jun 8.7875 1.857911111 0.429433333 0.010073 0.3859
6-Jul 0.560383333 2.255146667 0.584558333 0.00683339 0.533
20-Jul 3.884324074 1.158053704 0.131914352 0.007839272 0.4833
20-Sep 0.839726852 3.981024074 0.442050926 0.004743047 0.6627
11-Oct 0.811763889 1.552746296 0.50261713 0.003953264 0.6421
     
     
4-May 28.40683333 5.819238889 1.899230556 0.0034185 0.8631
24-May 16.95383333 0.175822222 2.802647222 0.001656833 0.8249
7-Jun 13.61 2.208083333 3.578997222 0.002331958 0.8415
6-Jul 12.17125926 3.793327778 0.453277778 0.006472611 0.1372
20-Jul 31.94725926 4.735496296 1.114419907 0.005645892 0.3016
20-Sep 1.367537037 3.868012963 2.206351852 0.000198278 0.9291
11-Oct 21.223 3.849807407 2.113006944 0.003906167 0.8014
     
     
4-May 13.91112821 2.494784615 2.148489744 0.002970308 0.8392
24-May 20.50954545 0.40069697 0.188084848 0.003579455 0.9093
7-Jun 31.12083333 6.08865 1.249472222 0.007037208 0.7207
21-Jun 9.985958333 2.147833333 0.998456944 0.0075046 0.5656
6-Jul 27.76333648 3.62092327 0.164046541 0.003106121 0.124
20-Jul 6.796930556 0.164103704 1.18690463 0.003232533 0.0921
20-Sep 10.87907407 0.686285185 0.530243981 0.000808311 0.7846
11-Oct 21.21483796 3.95637037 0.328832407 0.001824403 0.5882
     
     
4-May 15.78066667 3.382377778 3.153505556 0.003395667 0.8428
24-May 5.683333333 0.585948148 1.372131481 0.001580778 0.8511
7-Jun 22.51533333 3.629948148 1.711698148 0.006727833 0.5819
21-Jun 2.432 4.796688889 1.551977778 0.002851467 0.166
6-Jul 8.475333333 2.228797531 1.886198765 0.004102444 0.0896
20-Jul 3.813481481 1.153965432 1.298774074 0.006800704 0.0244
20-Sep 18.86411728 1.603412346 0.605946296 0.003009056 0.8219
11-Oct 42.04214198 5.083246914 0.682817284 0.006456815 0.6982
may041 11.15666667 3.037822222 1.734116667 0.0030525 0.7021
may241 10.296 1.117666667 0.871796296 0.002280333 0.8289
jun071 3.167777778 0.772259259 1.482485185 0.001404 0.5471
jun211 9.252222222 1.222244444 0.787488889 0.007917333 0.1794
jul061 24.96751235 3.628264198 2.173538272 0.001846541 0.1195
jul201 2.814814815 2.743051852 1.049564815 0.007913778 0.0324
sep201 10.02116049 1.091701235 0.370361111 0.002127741 0.7776
oct111 0.699270833 0.507225 0.356163889 0.005719333 0.5826
may042 17.08 3.018466667 0.804911111 0.002903 0.7471
may242 25.46272222 1.158592593 0.148377778 0.004173556 0.8131
jun072 4.850111111 0.585444444 0.690868519 0.000307778 0.4515
jun212 10.12616667 3.185955556 0.896466667 0.004855833 0.1809
