lambda,Dry_Soil,Wet_Soil
400,0.2377,0.03208
401,0.2373,0.03195
402,0.2369,0.03181
403,0.2365,0.03168
404,0.236,0.03154
405,0.2356,0.03141
406,0.2352,0.03125
407,0.2348,0.03108
408,0.2344,0.03092
409,0.234,0.03076
410,0.2336,0.03059
411,0.2332,0.03044
412,0.2328,0.03028
413,0.2324,0.03012
414,0.232,0.02996
415,0.2316,0.0298
416,0.2312,0.02969
417,0.2308,0.02957
418,0.2304,0.02946
419,0.2299,0.02934
420,0.2295,0.02923
421,0.229,0.02911
422,0.2284,0.029
423,0.2278,0.02888
424,0.2272,0.02877
425,0.2267,0.02865
426,0.2263,0.02854
427,0.2259,0.02842
428,0.2254,0.02831
429,0.225,0.02819
430,0.2246,0.02808
431,0.2243,0.02793
432,0.224,0.02779
433,0.2237,0.02764
434,0.2234,0.0275
435,0.2231,0.02735
436,0.2228,0.0272
437,0.2224,0.02705
438,0.2221,0.0269
439,0.2218,0.02675
440,0.2215,0.0266
441,0.2215,0.02646
442,0.2215,0.02632
443,0.2215,0.02618
444,0.2215,0.02604
445,0.2214,0.0259
446,0.2215,0.02578
447,0.2215,0.02566
448,0.2216,0.02553
449,0.2217,0.02541
450,0.2217,0.02529
451,0.2218,0.02523
452,0.2219,0.02518
453,0.2219,0.02513
454,0.222,0.02508
455,0.2221,0.02502
456,0.2222,0.02502
457,0.2224,0.02502
458,0.2225,0.02502
459,0.2227,0.02501
460,0.2228,0.02501
461,0.223,0.02501
462,0.2231,0.02501
463,0.2233,0.025
464,0.2234,0.025
465,0.2236,0.025
466,0.2238,0.025
467,0.224,0.02499
468,0.2241,0.02499
469,0.2243,0.02499
470,0.2245,0.02499
471,0.2247,0.02498
472,0.2249,0.02498
473,0.2251,0.02498
474,0.2253,0.02498
475,0.2256,0.02497
476,0.2258,0.02483
477,0.226,0.02468
478,0.2262,0.02453
479,0.2264,0.02438
480,0.2266,0.02423
481,0.2269,0.02423
482,0.2271,0.02423
483,0.2273,0.02423
484,0.2276,0.02422
485,0.2278,0.02422
486,0.228,0.02422
487,0.2283,0.02422
488,0.2285,0.02421
489,0.2287,0.02421
490,0.2289,0.02421
491,0.2293,0.0245
492,0.2297,0.02479
493,0.2302,0.02508
494,0.2306,0.02537
495,0.231,0.02566
496,0.2314,0.02565
497,0.2319,0.02565
498,0.2324,0.02565
499,0.2329,0.02565
500,0.2333,0.02564
501,0.234,0.02564
502,0.2346,0.02564
503,0.2353,0.02564
504,0.2359,0.02563
505,0.2366,0.02563
506,0.2371,0.0257
507,0.2376,0.02577
508,0.2381,0.02584
509,0.2387,0.02591
510,0.2392,0.02598
511,0.2396,0.02598
512,0.24,0.02598
513,0.2405,0.02598
514,0.2409,0.02597
515,0.2413,0.02597
516,0.2418,0.02597
517,0.2422,0.02597
518,0.2427,0.02596
519,0.2431,0.02596
520,0.2436,0.02596
521,0.2441,0.02596
522,0.2446,0.02595
523,0.2452,0.02595
524,0.2457,0.02595
525,0.2462,0.02595
526,0.2467,0.02594
527,0.2472,0.02594
528,0.2477,0.02594
529,0.2482,0.02594
530,0.2487,0.02593
531,0.2492,0.02593
532,0.2497,0.02593
533,0.2502,0.02593
534,0.2507,0.02592
535,0.2512,0.02592
536,0.2517,0.02614
537,0.2522,0.02635
538,0.2527,0.02657
539,0.2532,0.02679
540,0.2537,0.027
541,0.2542,0.027
542,0.2546,0.027
543,0.2551,0.027
544,0.2556,0.02699
545,0.2561,0.02699
546,0.2566,0.02735
547,0.2571,0.02772
548,0.2576,0.02808
549,0.2582,0.02844
550,0.2587,0.0288
551,0.2592,0.0288
552,0.2598,0.0288
553,0.2603,0.02879
554,0.2609,0.02879
555,0.2614,0.02879
556,0.262,0.02879
557,0.2626,0.02878
558,0.2631,0.02878
559,0.2637,0.02878
560,0.2642,0.02878
561,0.2647,0.02877
562,0.2651,0.02877
563,0.2655,0.02877
564,0.2659,0.02877
565,0.2664,0.02877
566,0.2667,0.02884
567,0.2671,0.02891
568,0.2675,0.02898
569,0.2679,0.02905
570,0.2683,0.02912
571,0.2686,0.02912
572,0.269,0.02911
573,0.2694,0.02911
574,0.2698,0.02911
575,0.2702,0.02911
576,0.2707,0.02918
577,0.2712,0.02926
578,0.2717,0.02934
579,0.2722,0.02942
580,0.2727,0.0295
581,0.2732,0.02978
582,0.2737,0.03006
583,0.2742,0.03034
584,0.2747,0.03062
585,0.2752,0.0309
586,0.2757,0.0309
587,0.2762,0.0309
588,0.2767,0.0309
589,0.2772,0.03089
590,0.2777,0.03089
591,0.2782,0.03089
592,0.2787,0.03089
593,0.2792,0.03088
594,0.2797,0.03088
595,0.2802,0.03088
596,0.2807,0.03088
597,0.2812,0.03087
598,0.2818,0.03087
599,0.2823,0.03087
600,0.2828,0.03087
601,0.2833,0.03098
602,0.2838,0.0311
603,0.2844,0.03122
604,0.2849,0.03133
605,0.2855,0.03145
606,0.2861,0.03147
607,0.2866,0.0315
608,0.2872,0.03152
609,0.2878,0.03155
610,0.2884,0.03157
611,0.289,0.03157
612,0.2896,0.03157
613,0.2902,0.03156
614,0.2908,0.03156
615,0.2913,0.03156
616,0.2919,0.03163
617,0.2924,0.0317
618,0.2929,0.03177
619,0.2934,0.03184
620,0.2939,0.03191
621,0.2944,0.03198
622,0.295,0.03205
623,0.2955,0.03212
624,0.296,0.03219
625,0.2965,0.03227
626,0.297,0.03263
627,0.2975,0.03299
628,0.298,0.03335
629,0.2985,0.03371
630,0.299,0.03408
631,0.2995,0.03407
632,0.2999,0.03407
633,0.3004,0.03407
634,0.3008,0.03407
635,0.3013,0.03406
636,0.3017,0.03425
637,0.3022,0.03443
638,0.3026,0.03461
639,0.303,0.03479
640,0.3035,0.03498
641,0.3039,0.03515
642,0.3044,0.03533
643,0.3048,0.03551
644,0.3053,0.03568
645,0.3057,0.03586
646,0.30620000000000003,0.03593
647,0.3066,0.036
648,0.3071,0.03607
649,0.3075,0.03614
650,0.308,0.03621
651,0.3086,0.03636
652,0.3092,0.0365
653,0.3097,0.03664
654,0.3103,0.03679
655,0.3109,0.03693
656,0.3117,0.0371
657,0.3125,0.03727
658,0.3133,0.03743
659,0.3141,0.0376
660,0.3149,0.03777
661,0.3156,0.03782
662,0.3162,0.03786
663,0.3169,0.03791
664,0.3176,0.03795
665,0.3182,0.038
666,0.3188,0.03829
667,0.3193,0.03858
668,0.3199,0.03887
669,0.3204,0.03916
670,0.321,0.03945
671,0.3216,0.03944
672,0.3221,0.03944
673,0.3227,0.03944
674,0.3232,0.03944
675,0.3238,0.03943
676,0.3244,0.0398
677,0.325,0.04016
678,0.3257,0.04052
679,0.3263,0.04088
680,0.3269,0.04124
681,0.3275,0.04131
682,0.3281,0.04138
683,0.3288,0.04146
684,0.3294,0.04153
685,0.33,0.0416
686,0.3304,0.04167
687,0.3309,0.04174
688,0.3313,0.04181
689,0.3317,0.04188
690,0.3322,0.04195
691,0.3325,0.04195
692,0.3328,0.04194
693,0.3332,0.04194
694,0.3335,0.04194
695,0.3338,0.04194
696,0.3341,0.04193
697,0.3345,0.04193
698,0.3348,0.04193
699,0.3351,0.04193
700,0.3355,0.04193
701,0.3361,0.04214
702,0.3367,0.04236
703,0.3373,0.04257
704,0.3379,0.04279
705,0.3385,0.04301
706,0.3392,0.04332
707,0.3398,0.04363
708,0.3405,0.04394
709,0.3412,0.04426
710,0.3418,0.04457
711,0.3424,0.04462
712,0.3429,0.04466
713,0.3434,0.04471
714,0.3439,0.04476
715,0.3444,0.0448
716,0.3449,0.04495
717,0.3454,0.04509
718,0.3459,0.04523
719,0.3464,0.04538
720,0.3469,0.04552
721,0.3476,0.04566
722,0.3483,0.04581
723,0.349,0.04595
724,0.3497,0.04609
725,0.3504,0.04624
726,0.3512,0.04653
727,0.352,0.04682
728,0.3529,0.04711
729,0.3537,0.04739
730,0.3545,0.04768
731,0.3549,0.04805
732,0.3553,0.04841
733,0.3557,0.04877
734,0.356,0.04913
735,0.3564,0.04949
736,0.3568,0.04971
737,0.3572,0.04993
738,0.3575,0.05014
739,0.3579,0.05036
740,0.3583,0.05058
741,0.3587,0.05073
742,0.3591,0.05089
743,0.3595,0.05105
744,0.36,0.05121
745,0.3604,0.05136
746,0.3609,0.05156
747,0.3615,0.05175
748,0.3621,0.05195
749,0.3626,0.05214
750,0.3632,0.05233
751,0.3637,0.05253
752,0.3643,0.05272
753,0.3649,0.05292
754,0.3654,0.05311
755,0.366,0.0533
756,0.3667,0.05355
757,0.3674,0.0538
758,0.3681,0.05404
759,0.3688,0.05429
760,0.3695,0.05454
761,0.37,0.05461
762,0.3705,0.05468
763,0.371,0.05475
764,0.3715,0.05482
765,0.3719,0.05489
766,0.3722,0.05489
767,0.3725,0.05488
768,0.3728,0.05488
769,0.3731,0.05488
770,0.3733,0.05488
771,0.3736,0.0549
772,0.3739,0.05493
773,0.3742,0.05496
774,0.3745,0.05498
775,0.3747,0.05501
776,0.3752,0.05549
777,0.3758,0.05597
778,0.3763,0.05645
779,0.3768,0.05692
780,0.3773,0.0574
781,0.3778,0.05753
782,0.3783,0.05766
783,0.3789,0.05778
784,0.3794,0.05791
785,0.3799,0.05804
786,0.3804,0.05813
787,0.3808,0.05821
788,0.3813,0.0583
789,0.3817,0.05839
790,0.3822,0.05847
791,0.3825,0.05884
792,0.3829,0.0592
793,0.3832,0.05956
794,0.3836,0.05992
795,0.3839,0.06028
796,0.3843,0.06028
797,0.3846,0.06028
798,0.385,0.06028
799,0.3853,0.06027
800,0.3857,0.06027
801,0.3862,0.06063
802,0.3866,0.061
803,0.3871,0.06136
804,0.3876,0.06172
805,0.3881,0.06208
806,0.3886,0.06223
807,0.3891,0.06237
808,0.3896,0.06251
809,0.3901,0.06266
810,0.3906,0.0628
811,0.3911,0.0628
812,0.3917,0.06279
813,0.3922,0.06279
814,0.3928,0.06279
815,0.3933,0.06279
816,0.3939,0.063
817,0.3944,0.06322
818,0.395,0.06344
819,0.3955,0.06365
820,0.3961,0.06387
821,0.3966,0.06433
822,0.3971,0.06479
823,0.3976,0.06525
824,0.3981,0.06571
825,0.3987,0.06616
826,0.3991,0.06643
827,0.3995,0.06669
828,0.3999,0.06696
829,0.4003,0.06722
830,0.4007,0.06749
831,0.401,0.06749
832,0.4013,0.06748
833,0.4015,0.06748
834,0.4018,0.06748
835,0.4021,0.06748
836,0.4023,0.06747
837,0.4026,0.06747
838,0.4028,0.06747
839,0.4031,0.06747
840,0.4034,0.06747
841,0.4038,0.06776
842,0.4043,0.06806
843,0.4047,0.06836
844,0.4052,0.06866
845,0.4056,0.06896
846,0.4061,0.06938
847,0.4066,0.06981
848,0.407,0.07023
849,0.4075,0.07066
850,0.4079,0.07109
851,0.4082,0.07108
852,0.4085,0.07108
853,0.4088,0.07108
854,0.4091,0.07108
855,0.4094,0.07107
856,0.4097,0.07107
857,0.4099,0.07107
858,0.4102,0.07107
859,0.4104,0.07106
860,0.4107,0.07106
861,0.411,0.07113
862,0.4113,0.07119
863,0.4116,0.07126
864,0.4119,0.07132
